Date,SYGT40 SJ EQUITY_price
9/11/2019,5089
9/12/2019,5152
9/13/2019,5188
9/16/2019,5232
9/17/2019,5157
9/18/2019,5089
9/19/2019,5088
9/20/2019,5110
9/23/2019,5026
9/25/2019,4955
9/26/2019,5007
9/27/2019,4994
9/30/2019,4962
10/1/2019,4975
10/2/2019,4876
10/3/2019,4856
10/4/2019,4890
10/7/2019,4953
10/8/2019,4930
10/9/2019,4919
10/10/2019,4992
10/11/2019,5039
10/14/2019,4998
10/15/2019,5024
10/16/2019,5070
10/17/2019,5073
10/18/2019,5053
10/21/2019,5079
10/22/2019,5057
10/23/2019,5031
10/24/2019,5013
10/25/2019,4975
10/28/2019,5056
10/29/2019,5039
10/30/2019,5058
