Date,ASHR40 SJ EQUITY_price
9/28/2015,4438
9/29/2015,4430
9/30/2015,4502
10/1/2015,4541
10/2/2015,4582
10/5/2015,4697
10/6/2015,4687
10/7/2015,4741
10/8/2015,4754
10/9/2015,4805
10/12/2015,4744
10/13/2015,4788
10/14/2015,4784
10/15/2015,4770
10/16/2015,4770
10/19/2015,4795
10/20/2015,4766
10/21/2015,4783
10/22/2015,4806
10/23/2015,4907
10/26/2015,4882
10/27/2015,4837
10/28/2015,4844
10/29/2015,4818
10/30/2015,4855
11/2/2015,4859
11/3/2015,4881
11/4/2015,4920
11/5/2015,4872
11/6/2015,4780
11/9/2015,4826
11/10/2015,4749
11/11/2015,4755
11/12/2015,4707
11/13/2015,4626
11/16/2015,4657
11/17/2015,4703
11/18/2015,4674
11/19/2015,4712
11/20/2015,4725
11/23/2015,4724
11/24/2015,4689
11/25/2015,4665
11/26/2015,4719
11/27/2015,4662
11/30/2015,4666
12/1/2015,4663
12/2/2015,4636
12/3/2015,4567
12/4/2015,4465
12/7/2015,4524
12/8/2015,4450
12/9/2015,4489
12/10/2015,4457
12/11/2015,4391
12/14/2015,4345
12/15/2015,4405
12/17/2015,4530
12/18/2015,4404
12/21/2015,4441
12/22/2015,4497
12/23/2015,4590
12/24/2015,4645
12/28/2015,4631
12/29/2015,4605
12/30/2015,4596
12/31/2015,4586
1/4/2016,4452
1/5/2016,4473
1/6/2016,4421
1/7/2016,4325
1/8/2016,4332
1/11/2016,4355
1/12/2016,4356
1/13/2016,4348
1/14/2016,4280
1/15/2016,4218
1/18/2016,4216
1/19/2016,4294
1/20/2016,4168
1/21/2016,4159
1/22/2016,4300
1/25/2016,4243
1/26/2016,4269
1/27/2016,4301
1/28/2016,4382
1/29/2016,4413
2/1/2016,4395
2/2/2016,4304
2/3/2016,4353
2/4/2016,4436
2/5/2016,4452
2/8/2016,4406
2/9/2016,4305
2/10/2016,4308
2/11/2016,4212
2/12/2016,4319
2/15/2016,4445
2/16/2016,4402
2/17/2016,4463
2/18/2016,4451
2/19/2016,4354
2/22/2016,4379
2/23/2016,4330
2/24/2016,4252
2/25/2016,4283
2/26/2016,4393
2/29/2016,4384
3/1/2016,4468
3/2/2016,4534
3/3/2016,4602
3/4/2016,4630
3/7/2016,4672
3/8/2016,4636
3/9/2016,4574
3/10/2016,4567
3/11/2016,4588
3/14/2016,4672
3/15/2016,4657
3/16/2016,4700
3/17/2016,4734
3/18/2016,4799
3/22/2016,4749
3/23/2016,4680
3/24/2016,4675
3/29/2016,4623
3/30/2016,4680
3/31/2016,4653
4/1/2016,4587
4/4/2016,4596
4/5/2016,4530
4/6/2016,4527
4/7/2016,4521
4/8/2016,4544
4/11/2016,4543
4/12/2016,4596
4/13/2016,4683
4/14/2016,4676
4/15/2016,4697
4/18/2016,4716
4/19/2016,4730
4/20/2016,4750
4/21/2016,4713
4/22/2016,4678
4/25/2016,4685
4/26/2016,4697
4/28/2016,4707
4/29/2016,4675
5/3/2016,4583
5/4/2016,4583
5/5/2016,4589
5/6/2016,4538
5/9/2016,4541
5/10/2016,4598
5/11/2016,4611
5/12/2016,4546
5/13/2016,4566
5/16/2016,4651
5/17/2016,4666
5/18/2016,4690
5/19/2016,4659
5/20/2016,4682
5/23/2016,4681
5/24/2016,4730
5/25/2016,4800
5/26/2016,4811
5/27/2016,4835
5/30/2016,4873
5/31/2016,4828
6/1/2016,4779
6/2/2016,4796
6/3/2016,4835
6/6/2016,4811
6/7/2016,4834
6/8/2016,4799
6/9/2016,4745
6/10/2016,4728
6/13/2016,4667
6/14/2016,4569
6/15/2016,4650
6/17/2016,4642
6/20/2016,4731
6/21/2016,4715
6/22/2016,4776
6/23/2016,4773
6/24/2016,4586
6/27/2016,4443
6/28/2016,4541
6/29/2016,4603
6/30/2016,4632
7/1/2016,4629
7/4/2016,4612
7/5/2016,4542
7/6/2016,4454
7/7/2016,4501
7/8/2016,4494
7/11/2016,4561
7/12/2016,4611
7/13/2016,4631
7/14/2016,4633
7/15/2016,4657
7/18/2016,4639
7/19/2016,4629
7/20/2016,4622
7/21/2016,4630
7/22/2016,4631
7/25/2016,4662
7/26/2016,4695
7/27/2016,4687
7/28/2016,4650
7/29/2016,4611
8/1/2016,4623
8/2/2016,4570
8/4/2016,4563
8/5/2016,4554
8/8/2016,4567
8/10/2016,4534
8/11/2016,4535
8/12/2016,4592
8/15/2016,4555
8/16/2016,4567
8/17/2016,4562
8/18/2016,4626
8/19/2016,4618
8/22/2016,4619
8/23/2016,4637
8/24/2016,4706
8/25/2016,4697
8/26/2016,4700
8/29/2016,4718
8/30/2016,4708
8/31/2016,4652
9/1/2016,4651
9/2/2016,4720
9/5/2016,4729
9/6/2016,4727
9/7/2016,4707
9/8/2016,4690
9/9/2016,4712
9/12/2016,4659
9/13/2016,4664
9/14/2016,4642
9/15/2016,4612
9/16/2016,4587
9/19/2016,4587
9/20/2016,4532
9/21/2016,4476
9/22/2016,4601
9/23/2016,4597
9/26/2016,4299
9/27/2016,4494
9/28/2016,4582
9/29/2016,4698
9/30/2016,4585
10/3/2016,4569
10/4/2016,4605
10/5/2016,4589
10/6/2016,4563
10/7/2016,4577
10/10/2016,4577
10/11/2016,4609
10/12/2016,4532
10/13/2016,4417
10/14/2016,4489
10/17/2016,4454
10/18/2016,4476
10/19/2016,4514
10/20/2016,4508
10/21/2016,4529
10/24/2016,4530
10/25/2016,4535
10/26/2016,4515
10/27/2016,4480
10/28/2016,4452
10/31/2016,4421
11/1/2016,4458
11/2/2016,4428
11/3/2016,4393
11/4/2016,4346
11/7/2016,4404
11/8/2016,4443
11/9/2016,4468
11/10/2016,4547
11/11/2016,4430
11/14/2016,4373
11/15/2016,4331
11/16/2016,4385
11/17/2016,4435
11/18/2016,4443
11/21/2016,4431
11/22/2016,4486
11/23/2016,4429
11/24/2016,4427
11/25/2016,4442
11/28/2016,4390
11/29/2016,4403
11/30/2016,4407
12/1/2016,4368
12/2/2016,4302
12/5/2016,4340
12/6/2016,4278
12/7/2016,4328
12/8/2016,4411
12/9/2016,4451
12/12/2016,4424
12/13/2016,4442
12/14/2016,4437
12/15/2016,4359
12/19/2016,4367
12/20/2016,4410
12/21/2016,4395
12/22/2016,4363
12/23/2016,4319
12/28/2016,4400
12/29/2016,4424
12/30/2016,4413
1/3/2017,4457
1/4/2017,4416
1/5/2017,4393
1/6/2017,4474
1/9/2017,4458
1/10/2017,4533
1/11/2017,4608
1/12/2017,4613
1/13/2017,4637
1/16/2017,4665
1/17/2017,4631
1/18/2017,4624
1/19/2017,4622
1/20/2017,4584
1/23/2017,4618
1/24/2017,4639
1/25/2017,4634
1/26/2017,4646
1/27/2017,4615
1/30/2017,4577
1/31/2017,4594
2/1/2017,4627
2/2/2017,4580
2/3/2017,4538
2/6/2017,4537
2/7/2017,4532
2/8/2017,4496
2/9/2017,4502
2/10/2017,4565
2/13/2017,4599
2/14/2017,4543
2/15/2017,4545
2/16/2017,4543
2/17/2017,4509
2/20/2017,4544
2/21/2017,4547
2/22/2017,4506
2/23/2017,4501
2/24/2017,4455
2/27/2017,4439
2/28/2017,4425
3/1/2017,4464
3/2/2017,4481
3/3/2017,4469
3/6/2017,4440
3/7/2017,4431
3/8/2017,4446
3/9/2017,4412
3/10/2017,4434
3/13/2017,4485
3/14/2017,4467
3/15/2017,4477
3/16/2017,4560
3/17/2017,4545
3/20/2017,4565
3/22/2017,4502
3/23/2017,4514
3/24/2017,4491
3/27/2017,4491
3/28/2017,4541
3/29/2017,4568
3/30/2017,4560
3/31/2017,4553
4/3/2017,4603
4/4/2017,4611
4/5/2017,4615
4/6/2017,4614
4/7/2017,4609
4/10/2017,4651
4/11/2017,4680
4/12/2017,4673
4/13/2017,4674
4/18/2017,4594
4/19/2017,4593
4/20/2017,4575
4/21/2017,4558
4/24/2017,4625
4/25/2017,4661
4/26/2017,4706
4/28/2017,4722
5/2/2017,4724
5/3/2017,4705
5/4/2017,4684
5/5/2017,4713
5/8/2017,4712
5/9/2017,4776
5/10/2017,4783
5/11/2017,4754
5/12/2017,4748
5/15/2017,4764
5/16/2017,4751
5/17/2017,4761
5/18/2017,4789
5/19/2017,4811
5/22/2017,4806
5/23/2017,4812
5/24/2017,4787
5/25/2017,4772
5/26/2017,4751
5/29/2017,4757
5/30/2017,4783
5/31/2017,4717
6/1/2017,4666
6/2/2017,4662
6/5/2017,4667
6/6/2017,4610
6/7/2017,4596
6/8/2017,4589
6/9/2017,4602
6/12/2017,4530
6/13/2017,4537
6/14/2017,4528
6/15/2017,4464
6/19/2017,4548
6/20/2017,4513
6/21/2017,4532
6/22/2017,4508
6/23/2017,4558
6/26/2017,4536
