Date,SYGALBB SJ EQUITY_price
6/26/2019,93.79
6/27/2019,94.76
6/28/2019,95.14
7/1/2019,95.29
7/2/2019,95.24
7/3/2019,95.51
7/4/2019,95.96
7/5/2019,96.01
7/8/2019,95.94
7/9/2019,95.99
7/10/2019,95.87
7/11/2019,96.36
7/12/2019,95.93
7/15/2019,96.16
7/16/2019,96.23
7/17/2019,96.25
7/18/2019,96.55
7/19/2019,96.54
7/22/2019,96.73
7/23/2019,96.44
7/24/2019,96.21
7/25/2019,95.96
7/26/2019,94.8
7/29/2019,94.88
7/30/2019,94.78
7/31/2019,94.57
8/1/2019,94.46
8/2/2019,94.95
8/5/2019,94.38
8/6/2019,94.64
8/7/2019,94.64
8/8/2019,94.55
8/12/2019,94.08
8/13/2019,94.01
8/14/2019,93.97
8/15/2019,94.06
8/16/2019,94.53
8/19/2019,94.3
8/20/2019,94.35
8/21/2019,95.26
8/22/2019,95.44
8/23/2019,95.1
8/26/2019,95.36
8/27/2019,95.66
8/28/2019,95.87
8/29/2019,95.8
8/30/2019,95.67
9/2/2019,96.07
9/3/2019,96.46
9/4/2019,96.79
9/5/2019,96.55
9/6/2019,96.5
9/9/2019,96.57
9/10/2019,96.7
9/11/2019,96.52
9/12/2019,97.1
9/13/2019,97.09
9/16/2019,96.36
9/17/2019,96.03
9/18/2019,96.49
9/19/2019,96.5
9/20/2019,96.36
9/23/2019,96.31
9/25/2019,95.81
9/26/2019,96.11
9/27/2019,96.2
9/30/2019,95.96
10/1/2019,91.75
10/2/2019,92.08
10/3/2019,92.3
10/4/2019,92.82
10/7/2019,92.83
10/8/2019,92.32
10/9/2019,92.65
10/10/2019,92.8
10/11/2019,92.72
10/14/2019,92.76
10/15/2019,92.85
10/16/2019,92.57
10/17/2019,92.79
10/18/2019,92.95
10/21/2019,92.64
10/22/2019,92.95
10/23/2019,93.28
10/24/2019,93.22
10/25/2019,93.5
10/28/2019,93.52
10/29/2019,93.34
10/30/2019,91.98
